AgentId,AgentCode,FirstName,LastName,Email,Phone,Role,CountryId,IsActive,CreatedBy,CreatedOn
34,AG0034,Agent34,Lastname,agent34@darglobal.com,+91531378291,Lead Qualifier,6,1,SYSTEM,2025-01-25 10:38:39.914301
35,AG0035,Agent35,Lastname,agent35@darglobal.com,+966535562619,AI Agent Supervisor,6,1,SYSTEM,2025-01-06 10:38:39.914424
36,AG0036,Agent36,Lastname,agent36@darglobal.com,+968557805563,AI Agent Supervisor,4,0,SYSTEM,2025-04-28 10:38:39.914538
37,AG0037,Agent37,Lastname,agent37@darglobal.com,+968586641503,Follow-up Specialist,9,1,SYSTEM,2025-05-17 10:38:39.914652
38,AG0038,Agent38,Lastname,agent38@darglobal.com,+971553777024,AI Agent Supervisor,9,1,SYSTEM,2025-04-24 10:38:39.914767
39,AG0039,Agent39,Lastname,agent39@darglobal.com,+971534109026,Follow-up Specialist,10,1,SYSTEM,2025-07-24 10:38:39.914902
40,AG0040,Agent40,Lastname,agent40@darglobal.com,+966599223553,Senior Closer,5,1,SYSTEM,2025-09-13 10:38:39.915021
41,AG0041,Agent41,Lastname,agent41@darglobal.com,+966523448674,AI Agent Supervisor,3,1,SYSTEM,2025-07-30 10:38:39.915290
42,AG0042,Agent42,Lastname,agent42@darglobal.com,+966573150359,Follow-up Specialist,1,1,SYSTEM,2025-06-10 10:38:39.915428
43,AG0043,Agent43,Lastname,agent43@darglobal.com,+968578110973,AI Agent Supervisor,9,1,SYSTEM,2024-10-08 10:38:39.915545
44,AG0044,Agent44,Lastname,agent44@darglobal.com,+971519576703,Team Leader,2,1,SYSTEM,2025-04-12 10:38:39.915663
45,AG0045,Agent45,Lastname,agent45@darglobal.com,+91523705256,Follow-up Specialist,1,0,SYSTEM,2024-12-19 10:38:39.915782
46,AG0046,Agent46,Lastname,agent46@darglobal.com,+968597576439,AI Agent Supervisor,1,1,SYSTEM,2025-03-30 10:38:39.915913
47,AG0047,Agent47,Lastname,agent47@darglobal.com,+968537856186,AI Agent Supervisor,6,1,SYSTEM,2025-01-27 10:38:39.916332
48,AG0048,Agent48,Lastname,agent48@darglobal.com,+91577275698,Team Leader,8,1,SYSTEM,2025-02-08 10:38:39.916459
49,AG0049,Agent49,Lastname,agent49@darglobal.com,+91511326237,Senior Closer,1,1,SYSTEM,2024-11-09 10:38:39.916577
50,AG0050,Agent50,Lastname,agent50@darglobal.com,+974540820227,AI Agent Supervisor,1,0,SYSTEM,2025-04-03 10:38:39.916694
51,AG0051,Agent51,Lastname,agent51@darglobal.com,+968505130397,Luxury Specialist,5,1,SYSTEM,2025-02-01 10:38:39.917004
52,AG0052,Agent52,Lastname,agent52@darglobal.com,+91594783767,Luxury Specialist,1,1,SYSTEM,2025-06-19 10:38:39.917278
53,AG0053,Agent53,Lastname,agent53@darglobal.com,+974549742523,Senior Closer,4,1,SYSTEM,2025-04-14 10:38:39.917407
54,AG0054,Agent54,Lastname,agent54@darglobal.com,+974556877183,Lead Qualifier,9,1,SYSTEM,2025-07-30 10:38:39.917528
55,AG0055,Agent55,Lastname,agent55@darglobal.com,+971532474983,Team Leader,8,1,SYSTEM,2024-10-15 10:38:39.917646
56,AG0056,Agent56,Lastname,agent56@darglobal.com,+971517882750,AI Agent Supervisor,10,1,SYSTEM,2024-12-23 10:38:39.917773
57,AG0057,Agent57,Lastname,agent57@darglobal.com,+966549913224,AI Agent Supervisor,6,1,SYSTEM,2025-04-05 10:38:39.917921
58,AG0058,Agent58,Lastname,agent58@darglobal.com,+971526658609,Senior Closer,8,1,SYSTEM,2024-11-13 10:38:39.918127
59,AG0059,Agent59,Lastname,agent59@darglobal.com,+968573208492,Follow-up Specialist,1,1,SYSTEM,2025-05-03 10:38:39.918276
60,AG0060,Agent60,Lastname,agent60@darglobal.com,+968549895282,Follow-up Specialist,2,1,SYSTEM,2025-02-19 10:38:39.918406
61,AG0061,Agent61,Lastname,agent61@darglobal.com,+974548939582,Team Leader,6,1,SYSTEM,2024-10-15 10:38:39.918539
62,AG0062,Agent62,Lastname,agent62@darglobal.com,+966526191539,Lead Qualifier,6,1,SYSTEM,2025-06-13 10:38:39.918672
63,AG0063,Agent63,Lastname,agent63@darglobal.com,+966566009351,Luxury Specialist,5,1,SYSTEM,2025-01-03 10:38:39.918809
64,AG0064,Agent64,Lastname,agent64@darglobal.com,+91529549535,Follow-up Specialist,3,1,SYSTEM,2024-11-18 10:38:39.918939
65,AG0065,Agent65,Lastname,agent65@darglobal.com,+91503379569,Follow-up Specialist,10,1,SYSTEM,2025-04-30 10:38:39.919183
66,AG0066,Agent66,Lastname,agent66@darglobal.com,+974506319707,Lead Qualifier,7,1,SYSTEM,2025-05-28 10:38:39.919323
67,AG0067,Agent67,Lastname,agent67@darglobal.com,+966504294539,Luxury Specialist,1,1,SYSTEM,2025-09-21 10:38:39.919453
68,AG0068,Agent68,Lastname,agent68@darglobal.com,+971590354783,Team Leader,6,1,SYSTEM,2025-01-28 10:38:39.919572
69,AG0069,Agent69,Lastname,agent69@darglobal.com,+91556996736,Luxury Specialist,7,1,SYSTEM,2025-07-15 10:38:39.919698
70,AG0070,Agent70,Lastname,agent70@darglobal.com,+91557338102,AI Agent Supervisor,10,1,SYSTEM,2025-06-28 10:38:39.919814
71,AG0071,Agent71,Lastname,agent71@darglobal.com,+966595875021,Follow-up Specialist,5,1,SYSTEM,2025-06-20 10:38:39.919943
72,AG0072,Agent72,Lastname,agent72@darglobal.com,+968581949124,Follow-up Specialist,10,1,SYSTEM,2024-10-16 10:38:39.920121
73,AG0073,Agent73,Lastname,agent73@darglobal.com,+968572807712,Team Leader,5,1,SYSTEM,2025-09-12 10:38:39.920271
74,AG0074,Agent74,Lastname,agent74@darglobal.com,+91550166883,Lead Qualifier,4,1,SYSTEM,2025-01-15 10:38:39.920391
75,AG0075,Agent75,Lastname,agent75@darglobal.com,+974513470137,Senior Closer,8,1,SYSTEM,2025-09-18 10:38:39.920527
76,AG0076,Agent76,Lastname,agent76@darglobal.com,+971599967871,AI Agent Supervisor,4,1,SYSTEM,2025-03-28 10:38:39.920679
77,AG0077,Agent77,Lastname,agent77@darglobal.com,+974578547323,Senior Closer,1,1,SYSTEM,2025-06-13 10:38:39.920800
78,AG0078,Agent78,Lastname,agent78@darglobal.com,+968547685442,Senior Closer,1,1,SYSTEM,2025-08-10 10:38:39.920932
79,AG0079,Agent79,Lastname,agent79@darglobal.com,+968529469068,Follow-up Specialist,2,0,SYSTEM,2025-01-23 10:38:39.921380
80,AG0080,Agent80,Lastname,agent80@darglobal.com,+974537317456,Lead Qualifier,8,1,SYSTEM,2025-06-24 10:38:39.921505
81,AG0081,Agent81,Lastname,agent81@darglobal.com,+971545932658,Senior Closer,7,1,SYSTEM,2025-05-31 10:38:39.921784
82,AG0082,Agent82,Lastname,agent82@darglobal.com,+91510617244,Follow-up Specialist,9,1,SYSTEM,2025-01-16 10:38:39.921949
83,AG0083,Agent83,Lastname,agent83@darglobal.com,+968591008393,Luxury Specialist,9,1,SYSTEM,2025-02-07 10:38:39.922159
84,AG0084,Agent84,Lastname,agent84@darglobal.com,+966555395426,Follow-up Specialist,2,1,SYSTEM,2025-06-18 10:38:39.922283
85,AG0085,Agent85,Lastname,agent85@darglobal.com,+91585241611,Senior Closer,7,1,SYSTEM,2025-02-17 10:38:39.922400
86,AG0086,Agent86,Lastname,agent86@darglobal.com,+974540260456,Team Leader,1,1,SYSTEM,2025-06-30 10:38:39.922517
87,AG0087,Agent87,Lastname,agent87@darglobal.com,+966532425301,Luxury Specialist,3,1,SYSTEM,2025-02-01 10:38:39.922634
88,AG0088,Agent88,Lastname,agent88@darglobal.com,+974547911176,Follow-up Specialist,4,1,SYSTEM,2025-05-01 10:38:39.923420
89,AG0089,Agent89,Lastname,agent89@darglobal.com,+91551371106,Follow-up Specialist,9,1,SYSTEM,2025-07-31 10:38:39.923553
90,AG0090,Agent90,Lastname,agent90@darglobal.com,+966584673574,Luxury Specialist,5,1,SYSTEM,2025-02-11 10:38:39.923678
91,AG0091,Agent91,Lastname,agent91@darglobal.com,+971517310852,AI Agent Supervisor,7,1,SYSTEM,2024-10-26 10:38:39.923796
92,AG0092,Agent92,Lastname,agent92@darglobal.com,+971577273675,Senior Closer,10,1,SYSTEM,2025-01-12 10:38:39.923929
93,AG0093,Agent93,Lastname,agent93@darglobal.com,+91516434343,Lead Qualifier,9,1,SYSTEM,2025-05-23 10:38:39.924120
94,AG0094,Agent94,Lastname,agent94@darglobal.com,+971580954884,Luxury Specialist,5,1,SYSTEM,2025-05-09 10:38:39.924254
95,AG0095,Agent95,Lastname,agent95@darglobal.com,+91523020885,Follow-up Specialist,1,1,SYSTEM,2025-02-17 10:38:39.924372
96,AG0096,Agent96,Lastname,agent96@darglobal.com,+91514509187,Follow-up Specialist,6,1,SYSTEM,2024-12-21 10:38:39.924492
97,AG0097,Agent97,Lastname,agent97@darglobal.com,+91512831595,Team Leader,7,1,SYSTEM,2024-10-11 10:38:39.924613
98,AG0098,Agent98,Lastname,agent98@darglobal.com,+974574936358,Team Leader,3,1,SYSTEM,2025-01-23 10:38:39.924737
99,AG0099,Agent99,Lastname,agent99@darglobal.com,+968538538877,Lead Qualifier,4,1,SYSTEM,2024-11-09 10:38:39.925240
100,AG0100,Agent100,Lastname,agent100@darglobal.com,+966589630668,Follow-up Specialist,9,1,SYSTEM,2024-11-14 10:38:39.925363
101,AG0101,Agent101,Lastname,agent101@darglobal.com,+966520812709,Luxury Specialist,6,1,SYSTEM,2025-04-02 10:38:39.925479
102,AG0102,Agent102,Lastname,agent102@darglobal.com,+91551152700,Luxury Specialist,6,1,SYSTEM,2025-01-13 10:38:39.925596
103,AG0103,Agent103,Lastname,agent103@darglobal.com,+91512842659,AI Agent Supervisor,3,1,SYSTEM,2025-08-06 10:38:39.925898
104,AG0104,Agent104,Lastname,agent104@darglobal.com,+966535427853,Senior Closer,5,1,SYSTEM,2025-01-06 10:38:39.926086
105,AG0105,Agent105,Lastname,agent105@darglobal.com,+966538673354,Follow-up Specialist,10,1,SYSTEM,2024-09-29 10:38:39.926237
106,AG0106,Agent106,Lastname,agent106@darglobal.com,+968555860631,Follow-up Specialist,5,1,SYSTEM,2024-10-09 10:38:39.926373
107,AG0107,Agent107,Lastname,agent107@darglobal.com,+968556987271,Lead Qualifier,2,1,SYSTEM,2024-09-30 10:38:39.926482
108,AG0108,Agent108,Lastname,agent108@darglobal.com,+966542734307,AI Agent Supervisor,6,0,SYSTEM,2025-03-05 10:38:39.926560
109,AG0109,Agent109,Lastname,agent109@darglobal.com,+966521288948,Follow-up Specialist,3,1,SYSTEM,2025-07-02 10:38:39.926628
110,AG0110,Agent110,Lastname,agent110@darglobal.com,+974529933823,Luxury Specialist,9,1,SYSTEM,2024-11-14 10:38:39.926719
111,AG0111,Agent111,Lastname,agent111@darglobal.com,+971587350522,Luxury Specialist,5,0,SYSTEM,2024-12-07 10:38:39.926788
112,AG0112,Agent112,Lastname,agent112@darglobal.com,+966549907857,Senior Closer,5,1,SYSTEM,2025-02-17 10:38:39.926855
113,AG0113,Agent113,Lastname,agent113@darglobal.com,+974528267184,Luxury Specialist,1,1,SYSTEM,2025-06-15 10:38:39.926943
114,AG0114,Agent114,Lastname,agent114@darglobal.com,+966558720660,Team Leader,1,1,SYSTEM,2025-05-12 10:38:39.927009
115,AG0115,Agent115,Lastname,agent115@darglobal.com,+974597278998,Luxury Specialist,5,1,SYSTEM,2025-07-01 10:38:39.927205
116,AG0116,Agent116,Lastname,agent116@darglobal.com,+966595927380,Team Leader,9,1,SYSTEM,2025-08-02 10:38:39.927284
117,AG0117,Agent117,Lastname,agent117@darglobal.com,+91553363404,Follow-up Specialist,1,1,SYSTEM,2024-12-08 10:38:39.927394
118,AG0118,Agent118,Lastname,agent118@darglobal.com,+971561902171,Lead Qualifier,10,1,SYSTEM,2025-05-27 10:38:39.927512
119,AG0119,Agent119,Lastname,agent119@darglobal.com,+974586601594,Lead Qualifier,1,1,SYSTEM,2025-02-12 10:38:39.927629
120,AG0120,Agent120,Lastname,agent120@darglobal.com,+974538720111,Luxury Specialist,5,1,SYSTEM,2025-07-09 10:38:39.927752
121,AG0121,Agent121,Lastname,agent121@darglobal.com,+974548840101,Follow-up Specialist,2,1,SYSTEM,2025-06-16 10:38:39.927893
122,AG0122,Agent122,Lastname,agent122@darglobal.com,+971574062621,AI Agent Supervisor,3,1,SYSTEM,2024-11-18 10:38:39.928034
123,AG0123,Agent123,Lastname,agent123@darglobal.com,+966560084389,Senior Closer,8,1,SYSTEM,2025-08-23 10:38:39.928255
124,AG0124,Agent124,Lastname,agent124@darglobal.com,+971579945266,Senior Closer,5,1,SYSTEM,2025-05-07 10:38:39.928379
125,AG0125,Agent125,Lastname,agent125@darglobal.com,+966581251088,Follow-up Specialist,4,1,SYSTEM,2025-08-19 10:38:39.928785
126,AG0126,Agent126,Lastname,agent126@darglobal.com,+91515734209,Luxury Specialist,3,1,SYSTEM,2025-04-24 10:38:39.928928
127,AG0127,Agent127,Lastname,agent127@darglobal.com,+974559387253,Follow-up Specialist,8,1,SYSTEM,2024-12-15 10:38:39.929094
128,AG0128,Agent128,Lastname,agent128@darglobal.com,+974522383810,AI Agent Supervisor,2,1,SYSTEM,2025-08-02 10:38:39.929241
129,AG0129,Agent129,Lastname,agent129@darglobal.com,+974539902996,Luxury Specialist,2,1,SYSTEM,2024-11-09 10:38:39.929362
130,AG0130,Agent130,Lastname,agent130@darglobal.com,+91575012933,Senior Closer,5,1,SYSTEM,2024-10-11 10:38:39.929485
131,AG0131,Agent131,Lastname,agent131@darglobal.com,+971516099248,Team Leader,10,1,SYSTEM,2025-07-11 10:38:39.929604
132,AG0132,Agent132,Lastname,agent132@darglobal.com,+971577998328,Senior Closer,6,1,SYSTEM,2024-10-07 10:38:39.929713
133,AG0133,Agent133,Lastname,agent133@darglobal.com,+974562802750,Luxury Specialist,1,1,SYSTEM,2025-01-08 10:38:39.929907
134,AG0134,Agent134,Lastname,agent134@darglobal.com,+966515152994,Luxury Specialist,4,1,SYSTEM,2025-05-18 10:38:39.930022
135,AG0135,Agent135,Lastname,agent135@darglobal.com,+971542758171,Team Leader,8,1,SYSTEM,2025-04-21 10:38:39.930221
136,AG0136,Agent136,Lastname,agent136@darglobal.com,+974510466615,AI Agent Supervisor,7,1,SYSTEM,2025-01-27 10:38:39.930340
137,AG0137,Agent137,Lastname,agent137@darglobal.com,+974503708654,Follow-up Specialist,2,1,SYSTEM,2025-02-07 10:38:39.930455
138,AG0138,Agent138,Lastname,agent138@darglobal.com,+974547756479,Senior Closer,7,1,SYSTEM,2025-03-04 10:38:39.930578
139,AG0139,Agent139,Lastname,agent139@darglobal.com,+966564413145,Team Leader,9,1,SYSTEM,2025-02-22 10:38:39.930713
140,AG0140,Agent140,Lastname,agent140@darglobal.com,+966598149955,Lead Qualifier,3,1,SYSTEM,2025-04-29 10:38:39.930839
141,AG0141,Agent141,Lastname,agent141@darglobal.com,+968525153646,Team Leader,2,1,SYSTEM,2025-01-29 10:38:39.930966
142,AG0142,Agent142,Lastname,agent142@darglobal.com,+974516203305,Senior Closer,5,1,SYSTEM,2024-12-14 10:38:39.931198
143,AG0143,Agent143,Lastname,agent143@darglobal.com,+971553028791,AI Agent Supervisor,6,1,SYSTEM,2024-12-07 10:38:39.931335
144,AG0144,Agent144,Lastname,agent144@darglobal.com,+91534499221,Luxury Specialist,6,1,SYSTEM,2025-06-02 10:38:39.931452
145,AG0145,Agent145,Lastname,agent145@darglobal.com,+968530354781,AI Agent Supervisor,8,1,SYSTEM,2025-01-18 10:38:39.931568
146,AG0146,Agent146,Lastname,agent146@darglobal.com,+974578350878,Luxury Specialist,4,1,SYSTEM,2025-09-16 10:38:39.931690
147,AG0147,Agent147,Lastname,agent147@darglobal.com,+971557975251,Follow-up Specialist,4,0,SYSTEM,2025-05-27 10:38:39.931810
148,AG0148,Agent148,Lastname,agent148@darglobal.com,+966594484061,Team Leader,3,1,SYSTEM,2025-03-12 10:38:39.931938
149,AG0149,Agent149,Lastname,agent149@darglobal.com,+974539138695,Lead Qualifier,3,1,SYSTEM,2025-05-12 10:38:39.932104
150,AG0150,Agent150,Lastname,agent150@darglobal.com,+971548014453,Follow-up Specialist,3,1,SYSTEM,2025-09-02 10:38:39.932250
151,AG0151,Agent151,Lastname,agent151@darglobal.com,+966590567214,Senior Closer,10,1,SYSTEM,2025-08-15 10:38:39.932369
152,AG0152,Agent152,Lastname,agent152@darglobal.com,+91526216317,AI Agent Supervisor,4,1,SYSTEM,2025-01-06 10:38:39.932484
153,AG0153,Agent153,Lastname,agent153@darglobal.com,+966572017911,Lead Qualifier,5,1,SYSTEM,2025-04-03 10:38:39.932614
154,AG0154,Agent154,Lastname,agent154@darglobal.com,+971542321932,Lead Qualifier,4,1,SYSTEM,2025-06-13 10:38:39.932745
155,AG0155,Agent155,Lastname,agent155@darglobal.com,+966543928336,Senior Closer,8,1,SYSTEM,2025-06-20 10:38:39.932867
156,AG0156,Agent156,Lastname,agent156@darglobal.com,+966529967940,Team Leader,2,1,SYSTEM,2025-05-08 10:38:39.932995
157,AG0157,Agent157,Lastname,agent157@darglobal.com,+971518161634,AI Agent Supervisor,1,1,SYSTEM,2025-07-24 10:38:39.933176
158,AG0158,Agent158,Lastname,agent158@darglobal.com,+91563446855,AI Agent Supervisor,9,1,SYSTEM,2024-11-10 10:38:39.933309
159,AG0159,Agent159,Lastname,agent159@darglobal.com,+974534427604,Luxury Specialist,5,1,SYSTEM,2025-07-06 10:38:39.933432
160,AG0160,Agent160,Lastname,agent160@darglobal.com,+971506941245,Follow-up Specialist,9,1,SYSTEM,2025-06-25 10:38:39.933562
161,AG0161,Agent161,Lastname,agent161@darglobal.com,+971517606951,Team Leader,3,1,SYSTEM,2024-10-04 10:38:39.933684
162,AG0162,Agent162,Lastname,agent162@darglobal.com,+966557821848,Senior Closer,1,1,SYSTEM,2024-11-17 10:38:39.933797
163,AG0163,Agent163,Lastname,agent163@darglobal.com,+974549818662,AI Agent Supervisor,6,1,SYSTEM,2025-03-27 10:38:39.933956
164,AG0164,Agent164,Lastname,agent164@darglobal.com,+971561298111,Follow-up Specialist,1,1,SYSTEM,2025-02-03 10:38:39.934141
165,AG0165,Agent165,Lastname,agent165@darglobal.com,+974531556003,Luxury Specialist,6,1,SYSTEM,2024-12-07 10:38:39.934274
166,AG0166,Agent166,Lastname,agent166@darglobal.com,+968531738453,Lead Qualifier,10,1,SYSTEM,2024-10-27 10:38:39.934395
167,AG0167,Agent167,Lastname,agent167@darglobal.com,+966539367797,Team Leader,4,1,SYSTEM,2025-03-22 10:38:39.934516
168,AG0168,Agent168,Lastname,agent168@darglobal.com,+91536982407,Luxury Specialist,4,1,SYSTEM,2025-05-15 10:38:39.934635
169,AG0169,Agent169,Lastname,agent169@darglobal.com,+974569353566,AI Agent Supervisor,3,1,SYSTEM,2024-12-14 10:38:39.934748
170,AG0170,Agent170,Lastname,agent170@darglobal.com,+974522674714,Luxury Specialist,4,1,SYSTEM,2024-10-27 10:38:39.934876
171,AG0171,Agent171,Lastname,agent171@darglobal.com,+971542019117,AI Agent Supervisor,10,1,SYSTEM,2025-02-24 10:38:39.935008
172,AG0172,Agent172,Lastname,agent172@darglobal.com,+966525836512,Follow-up Specialist,4,1,SYSTEM,2025-05-12 10:38:39.935260
173,AG0173,Agent173,Lastname,agent173@darglobal.com,+91584776775,Lead Qualifier,1,1,SYSTEM,2025-08-02 10:38:39.935470
174,AG0174,Agent174,Lastname,agent174@darglobal.com,+91545084109,Senior Closer,6,1,SYSTEM,2025-01-08 10:38:39.935590
175,AG0175,Agent175,Lastname,agent175@darglobal.com,+91569111188,Lead Qualifier,4,1,SYSTEM,2024-11-13 10:38:39.935707
176,AG0176,Agent176,Lastname,agent176@darglobal.com,+966580908854,AI Agent Supervisor,8,1,SYSTEM,2024-11-17 10:38:39.935828
177,AG0177,Agent177,Lastname,agent177@darglobal.com,+966577652169,Follow-up Specialist,9,0,SYSTEM,2024-12-05 10:38:39.935957
178,AG0178,Agent178,Lastname,agent178@darglobal.com,+968526395160,Lead Qualifier,6,1,SYSTEM,2025-02-24 10:38:39.936143
179,AG0179,Agent179,Lastname,agent179@darglobal.com,+974580535969,AI Agent Supervisor,1,1,SYSTEM,2024-09-23 10:38:39.936278
180,AG0180,Agent180,Lastname,agent180@darglobal.com,+974568105394,Team Leader,8,1,SYSTEM,2025-03-26 10:38:39.936403
181,AG0181,Agent181,Lastname,agent181@darglobal.com,+91536919127,Senior Closer,1,1,SYSTEM,2025-04-25 10:38:39.936528
182,AG0182,Agent182,Lastname,agent182@darglobal.com,+971556240283,Lead Qualifier,5,1,SYSTEM,2024-10-20 10:38:39.936654
183,AG0183,Agent183,Lastname,agent183@darglobal.com,+968592294504,Senior Closer,4,1,SYSTEM,2025-07-21 10:38:39.936799
184,AG0184,Agent184,Lastname,agent184@darglobal.com,+91509427504,Senior Closer,7,1,SYSTEM,2025-02-23 10:38:39.936926
185,AG0185,Agent185,Lastname,agent185@darglobal.com,+91522761900,Luxury Specialist,8,1,SYSTEM,2025-01-08 10:38:39.937041
186,AG0186,Agent186,Lastname,agent186@darglobal.com,+974567812526,Lead Qualifier,2,1,SYSTEM,2025-06-01 10:38:39.937234
187,AG0187,Agent187,Lastname,agent187@darglobal.com,+971565954738,Follow-up Specialist,1,1,SYSTEM,2025-07-29 10:38:39.937350
188,AG0188,Agent188,Lastname,agent188@darglobal.com,+974595785737,Lead Qualifier,3,1,SYSTEM,2025-06-27 10:38:39.937463
189,AG0189,Agent189,Lastname,agent189@darglobal.com,+968599831174,Luxury Specialist,8,0,SYSTEM,2025-01-18 10:38:39.937580
190,AG0190,Agent190,Lastname,agent190@darglobal.com,+974552934615,AI Agent Supervisor,8,1,SYSTEM,2025-01-26 10:38:39.937695
191,AG0191,Agent191,Lastname,agent191@darglobal.com,+91595754818,AI Agent Supervisor,1,1,SYSTEM,2025-01-01 10:38:39.937809
192,AG0192,Agent192,Lastname,agent192@darglobal.com,+971585808215,Team Leader,8,1,SYSTEM,2025-04-10 10:38:39.937942
193,AG0193,Agent193,Lastname,agent193@darglobal.com,+91500611213,Lead Qualifier,7,1,SYSTEM,2025-04-14 10:38:39.938129
194,AG0194,Agent194,Lastname,agent194@darglobal.com,+91506202258,Follow-up Specialist,2,1,SYSTEM,2024-11-23 10:38:39.938269
195,AG0195,Agent195,Lastname,agent195@darglobal.com,+91540473321,Lead Qualifier,3,1,SYSTEM,2025-09-02 10:38:39.938388
196,AG0196,Agent196,Lastname,agent196@darglobal.com,+91506193956,Team Leader,9,1,SYSTEM,2024-10-02 10:38:39.938510
197,AG0197,Agent197,Lastname,agent197@darglobal.com,+968524899065,Team Leader,8,1,SYSTEM,2025-04-17 10:38:39.938641
198,AG0198,Agent198,Lastname,agent198@darglobal.com,+974583976173,Senior Closer,2,0,SYSTEM,2025-09-08 10:38:39.938761
