LeadId,LeadCode,FullName,Email,Phone,LeadStageId,CountryId,AssignedAgentId,EstimatedBudget,IsActive,CreatedBy,CreatedOn
25,LEAD000025,Lead 25,lead25@example.com,+971526150956,1,2,123.0,1904742.49,1,SYSTEM,2025-06-07 23:50:40.003490
26,LEAD000026,Lead 26,lead26@example.com,+971813110977,1,4,184.0,2912100.1,1,SYSTEM,2025-03-02 19:53:40.003490
27,LEAD000027,Lead 27,lead27@example.com,+974933916224,5,1,158.0,6572043.32,1,SYSTEM,2024-11-16 08:06:40.003490
28,LEAD000028,Lead 28,lead28@example.com,+974819329725,1,3,484.0,1974993.76,1,SYSTEM,2025-08-01 08:08:40.003490
29,LEAD000029,Lead 29,lead29@example.com,+966679493946,3,1,466.0,1350137.97,1,SYSTEM,2024-11-14 00:59:40.003490
30,LEAD000030,Lead 30,lead30@example.com,+966790283086,4,1,241.0,6111886.79,1,SYSTEM,2025-05-27 11:48:40.003490
31,LEAD000031,Lead 31,lead31@example.com,+966855260223,1,1,139.0,7018619.5,1,SYSTEM,2025-07-24 18:18:40.003490
32,LEAD000032,Lead 32,lead32@example.com,+974791988274,2,1,177.0,1430743.24,1,SYSTEM,2025-03-02 21:41:40.003490
33,LEAD000033,Lead 33,lead33@example.com,+966878154900,1,7,101.0,1795213.36,1,SYSTEM,2025-08-04 08:47:40.003490
34,LEAD000034,Lead 34,lead34@example.com,+974582245259,6,5,401.0,4296808.65,1,SYSTEM,2025-06-29 18:58:40.003490
35,LEAD000035,Lead 35,lead35@example.com,+974575452392,2,8,229.0,339077.63,1,SYSTEM,2025-02-15 00:12:40.003490
36,LEAD000036,Lead 36,lead36@example.com,+971889728224,1,7,343.0,3313490.0,1,SYSTEM,2025-08-16 15:48:40.003490
37,LEAD000037,Lead 37,,+971818752181,3,1,21.0,4417690.56,1,SYSTEM,2024-10-19 16:21:40.003490
38,LEAD000038,Lead 38,lead38@example.com,+974867134772,1,2,13.0,1588592.17,1,SYSTEM,2025-01-18 07:47:40.003490
39,LEAD000039,Lead 39,lead39@example.com,+966882660778,2,1,378.0,2745767.79,1,SYSTEM,2024-10-08 22:31:40.003490
40,LEAD000040,Lead 40,lead40@example.com,+971960117963,1,3,181.0,395914.36,1,SYSTEM,2025-02-25 02:24:40.003490
41,LEAD000041,Lead 41,lead41@example.com,+971922038022,2,2,126.0,1327439.62,1,SYSTEM,2025-05-04 07:02:40.003490
42,LEAD000042,Lead 42,lead42@example.com,+974842579975,3,2,217.0,2247780.33,1,SYSTEM,2025-02-03 14:24:40.003490
43,LEAD000043,Lead 43,lead43@example.com,+971994818407,2,1,133.0,4196056.35,1,SYSTEM,2025-04-15 01:00:40.003490
44,LEAD000044,Lead 44,lead44@example.com,+971804225771,2,3,441.0,3685605.32,1,SYSTEM,2025-07-07 08:18:40.003490
45,LEAD000045,Lead 45,lead45@example.com,+974542541546,4,6,175.0,1343560.36,1,SYSTEM,2025-09-16 14:24:40.003490
46,LEAD000046,Lead 46,,+966738829425,2,1,,3981637.89,1,SYSTEM,2024-11-07 19:23:40.003490
47,LEAD000047,Lead 47,lead47@example.com,+971744664917,2,2,78.0,903355.26,1,SYSTEM,2025-06-25 23:42:40.003490
48,LEAD000048,Lead 48,lead48@example.com,+966551535568,1,2,333.0,3789681.22,1,SYSTEM,2024-09-27 18:21:40.003490
49,LEAD000049,Lead 49,lead49@example.com,+971596807357,2,2,139.0,1777377.35,1,SYSTEM,2025-06-01 02:33:40.003490
50,LEAD000050,Lead 50,lead50@example.com,+974960088092,1,7,354.0,4188703.55,1,SYSTEM,2025-09-15 07:55:40.003490
51,LEAD000051,Lead 51,lead51@example.com,+974865792851,3,2,342.0,7572148.74,1,SYSTEM,2024-12-24 11:20:40.003490
52,LEAD000052,Lead 52,lead52@example.com,+971735162878,4,3,216.0,2535180.81,1,SYSTEM,2024-10-27 15:05:40.003490
53,LEAD000053,Lead 53,lead53@example.com,+971613314531,1,1,248.0,9920515.52,1,SYSTEM,2025-02-23 13:21:40.003490
54,LEAD000054,Lead 54,lead54@example.com,+966640093021,2,8,113.0,3446522.98,1,SYSTEM,2024-12-19 17:26:40.003490
55,LEAD000055,Lead 55,lead55@example.com,+974525589001,2,1,41.0,8848428.56,1,SYSTEM,2025-01-13 11:35:40.003490
56,LEAD000056,Lead 56,lead56@example.com,+966904413695,1,1,435.0,705785.22,1,SYSTEM,2025-09-10 23:18:40.003490
57,LEAD000057,Lead 57,lead57@example.com,+974935233641,2,1,242.0,2826584.86,1,SYSTEM,2025-08-14 17:42:40.003490
58,LEAD000058,Lead 58,,+971805622520,1,2,378.0,3755278.99,1,SYSTEM,2025-02-16 02:16:40.003490
59,LEAD000059,Lead 59,lead59@example.com,+971821211395,4,2,441.0,8997916.68,1,SYSTEM,2025-03-29 14:11:40.003490
60,LEAD000060,Lead 60,lead60@example.com,+971637532072,1,1,,2433797.25,1,SYSTEM,2025-09-21 15:08:40.003490
61,LEAD000061,Lead 61,lead61@example.com,+971958379250,1,2,239.0,1820805.01,1,SYSTEM,2024-09-25 04:59:40.003490
62,LEAD000062,Lead 62,lead62@example.com,+974743155149,2,5,496.0,1441858.68,1,SYSTEM,2024-10-21 15:02:40.003490
63,LEAD000063,Lead 63,lead63@example.com,+974581688737,3,7,9.0,10509450.94,1,SYSTEM,2024-11-20 09:08:40.003490
64,LEAD000064,Lead 64,lead64@example.com,+966521223034,2,3,102.0,825643.17,1,SYSTEM,2025-06-21 14:25:40.003490
65,LEAD000065,Lead 65,lead65@example.com,+974931522300,1,4,81.0,1245926.89,1,SYSTEM,2025-04-07 11:24:40.003490
66,LEAD000066,Lead 66,lead66@example.com,+974827147070,1,1,368.0,2828324.63,1,SYSTEM,2024-11-30 15:57:40.003490
67,LEAD000067,Lead 67,,+974882240627,1,7,78.0,482617.87,1,SYSTEM,2024-10-23 13:55:40.003490
68,LEAD000068,Lead 68,lead68@example.com,+966674953639,2,9,,3078950.19,1,SYSTEM,2025-04-26 04:43:40.003490
69,LEAD000069,Lead 69,lead69@example.com,+971752501080,4,4,452.0,2702384.7,1,SYSTEM,2025-02-15 21:53:40.003490
70,LEAD000070,Lead 70,lead70@example.com,+974808146626,4,1,83.0,4054018.85,1,SYSTEM,2025-07-31 14:45:40.003490
71,LEAD000071,Lead 71,lead71@example.com,+966757674117,1,1,57.0,2388433.3,1,SYSTEM,2024-11-13 20:42:40.003490
72,LEAD000072,Lead 72,lead72@example.com,+971854146500,1,3,,2331424.03,1,SYSTEM,2024-10-25 04:25:40.003490
73,LEAD000073,Lead 73,lead73@example.com,+966823213079,3,2,202.0,2090270.87,1,SYSTEM,2025-01-28 08:06:40.003490
74,LEAD000074,Lead 74,lead74@example.com,+966946494107,2,1,453.0,4291073.5,1,SYSTEM,2025-04-12 02:39:40.003490
75,LEAD000075,Lead 75,lead75@example.com,+971660896635,1,2,166.0,3530706.75,1,SYSTEM,2025-06-14 12:02:40.003490
76,LEAD000076,Lead 76,,+966895424693,1,3,403.0,1029813.56,1,SYSTEM,2025-02-26 01:15:40.003490
77,LEAD000077,Lead 77,lead77@example.com,+966710804163,2,3,154.0,8469051.85,1,SYSTEM,2025-05-12 14:36:40.003490
78,LEAD000078,Lead 78,lead78@example.com,+971736703768,1,3,,7355365.41,1,SYSTEM,2024-11-09 07:36:40.003490
79,LEAD000079,Lead 79,lead79@example.com,+971991379615,5,2,176.0,3456055.51,1,SYSTEM,2025-02-06 13:46:40.003490
80,LEAD000080,Lead 80,lead80@example.com,+974745626264,3,2,271.0,5827337.71,1,SYSTEM,2025-03-18 13:29:40.003490
81,LEAD000081,Lead 81,lead81@example.com,+966510608790,3,2,,4037278.41,1,SYSTEM,2025-04-21 23:17:40.003490
82,LEAD000082,Lead 82,lead82@example.com,+974860521788,1,1,318.0,965564.06,1,SYSTEM,2024-11-29 21:25:40.003490
83,LEAD000083,Lead 83,lead83@example.com,+971558458981,4,3,376.0,4530312.26,1,SYSTEM,2025-08-06 23:33:40.003490
84,LEAD000084,Lead 84,lead84@example.com,+974580975216,3,1,353.0,4695077.37,1,SYSTEM,2025-04-18 18:43:40.003490
85,LEAD000085,Lead 85,lead85@example.com,+971604463611,2,3,335.0,2717728.29,1,SYSTEM,2025-09-19 16:35:40.003490
86,LEAD000086,Lead 86,lead86@example.com,+974741274428,1,7,88.0,10455184.43,1,SYSTEM,2025-02-07 22:41:40.003490
87,LEAD000087,Lead 87,lead87@example.com,+966656862448,3,1,21.0,2203377.0,1,SYSTEM,2025-01-01 15:58:40.003490
88,LEAD000088,Lead 88,lead88@example.com,+974564448823,4,4,153.0,10374958.28,1,SYSTEM,2024-12-13 12:41:40.003490
89,LEAD000089,Lead 89,lead89@example.com,+971948501737,1,2,314.0,4806563.08,1,SYSTEM,2024-10-24 09:09:40.003490
90,LEAD000090,Lead 90,lead90@example.com,+974795764629,1,7,261.0,5064732.28,1,SYSTEM,2025-02-05 16:28:40.003490
91,LEAD000091,Lead 91,lead91@example.com,+974733015948,2,7,372.0,4574809.39,1,SYSTEM,2025-04-23 19:06:40.003490
92,LEAD000092,Lead 92,lead92@example.com,+971700947293,1,1,289.0,5312007.99,1,SYSTEM,2025-01-04 06:39:40.003490
93,LEAD000093,Lead 93,lead93@example.com,+974680092582,1,2,,5168465.98,1,SYSTEM,2025-01-14 14:11:40.003490
94,LEAD000094,Lead 94,lead94@example.com,+974516600352,1,1,19.0,4320805.33,1,SYSTEM,2025-02-20 18:20:40.003490
95,LEAD000095,Lead 95,lead95@example.com,+974995616204,1,2,245.0,1783612.91,1,SYSTEM,2025-02-10 07:38:40.003490
96,LEAD000096,Lead 96,lead96@example.com,+971588797488,1,1,314.0,5490175.01,1,SYSTEM,2025-07-01 02:44:40.003490
97,LEAD000097,Lead 97,lead97@example.com,+966956625973,2,2,120.0,3151659.87,1,SYSTEM,2025-01-16 21:09:40.003490
98,LEAD000098,Lead 98,lead98@example.com,+971545362588,4,2,450.0,1772685.95,1,SYSTEM,2025-09-21 05:31:40.003490
99,LEAD000099,Lead 99,lead99@example.com,+971947793669,2,2,185.0,3174146.05,1,SYSTEM,2025-02-15 05:25:40.003490
100,LEAD000100,Lead 100,lead100@example.com,+966990561525,2,7,448.0,2789070.06,1,SYSTEM,2024-11-09 22:55:40.003490
101,LEAD000101,Lead 101,lead101@example.com,+974636277113,3,1,96.0,1792919.32,0,SYSTEM,2024-11-01 08:41:40.003490
102,LEAD000102,Lead 102,lead102@example.com,+971597966396,3,1,48.0,3033143.42,1,SYSTEM,2024-11-09 19:05:40.003490
103,LEAD000103,Lead 103,,+974878970155,3,5,71.0,9991821.97,1,SYSTEM,2025-07-14 05:54:40.003490
104,LEAD000104,Lead 104,lead104@example.com,+971838472420,1,1,62.0,4554919.37,1,SYSTEM,2025-04-24 12:58:40.003490
105,LEAD000105,Lead 105,lead105@example.com,+971641040331,1,2,395.0,1483234.09,1,SYSTEM,2024-11-19 18:22:40.003490
106,LEAD000106,Lead 106,lead106@example.com,+966594257535,3,1,239.0,6896923.21,1,SYSTEM,2025-09-03 08:55:40.003490
107,LEAD000107,Lead 107,lead107@example.com,+971771185481,4,5,463.0,3715307.05,1,SYSTEM,2025-01-09 23:04:40.003490
108,LEAD000108,Lead 108,lead108@example.com,+966882209700,7,2,70.0,960315.88,1,SYSTEM,2025-08-27 14:57:40.003490
109,LEAD000109,Lead 109,lead109@example.com,+974560993015,4,7,413.0,4668886.09,1,SYSTEM,2025-03-16 16:02:40.003490
110,LEAD000110,Lead 110,lead110@example.com,+971907669423,1,3,140.0,7952202.44,1,SYSTEM,2025-06-12 21:10:40.003490
111,LEAD000111,Lead 111,lead111@example.com,+966870051874,7,5,,4390179.46,1,SYSTEM,2025-03-04 00:53:40.003490
112,LEAD000112,Lead 112,,+974561647309,2,6,433.0,4208345.83,1,SYSTEM,2025-07-23 07:12:40.003490
113,LEAD000113,Lead 113,lead113@example.com,+974847679256,2,1,,4454595.49,1,SYSTEM,2025-04-17 14:58:40.003490
114,LEAD000114,Lead 114,lead114@example.com,+974728415383,3,4,482.0,7824609.12,1,SYSTEM,2024-11-21 21:02:40.003490
115,LEAD000115,Lead 115,lead115@example.com,+971972718199,2,2,277.0,5391889.37,1,SYSTEM,2025-04-12 20:55:40.003490
116,LEAD000116,Lead 116,lead116@example.com,+974546988351,2,1,193.0,6637096.73,1,SYSTEM,2025-09-01 19:31:40.003490
117,LEAD000117,Lead 117,lead117@example.com,+966971146870,4,4,207.0,16024812.97,1,SYSTEM,2025-02-11 03:57:40.003490
118,LEAD000118,Lead 118,lead118@example.com,+966616017893,6,7,438.0,2137662.03,1,SYSTEM,2025-01-30 22:50:40.003490
119,LEAD000119,Lead 119,lead119@example.com,+971646223933,1,2,464.0,2252059.18,1,SYSTEM,2025-07-15 02:57:40.003490
120,LEAD000120,Lead 120,lead120@example.com,+966824497586,1,7,,2897415.91,1,SYSTEM,2025-03-22 09:01:40.003490
121,LEAD000121,Lead 121,lead121@example.com,+966930970486,4,3,273.0,3182284.68,1,SYSTEM,2025-05-01 23:57:40.003490
122,LEAD000122,Lead 122,lead122@example.com,+971948247585,1,7,50.0,4703383.63,1,SYSTEM,2024-10-02 12:27:40.003490
123,LEAD000123,Lead 123,lead123@example.com,+974707417703,6,1,192.0,2663245.89,1,SYSTEM,2025-01-25 17:45:40.003490
124,LEAD000124,Lead 124,lead124@example.com,+966693769241,1,1,223.0,2694712.41,1,SYSTEM,2024-10-31 03:13:40.003490
125,LEAD000125,Lead 125,lead125@example.com,+971764955799,1,1,112.0,6458162.36,1,SYSTEM,2025-04-01 15:47:40.003490
126,LEAD000126,Lead 126,lead126@example.com,+966687291831,2,7,278.0,10858482.12,1,SYSTEM,2025-05-02 20:34:40.003490
127,LEAD000127,Lead 127,lead127@example.com,+966565113119,4,2,148.0,8069312.72,0,SYSTEM,2025-06-20 01:32:40.003490
128,LEAD000128,Lead 128,lead128@example.com,+974971564514,2,2,400.0,5639762.72,1,SYSTEM,2025-04-10 22:21:40.003490
129,LEAD000129,Lead 129,lead129@example.com,+966840653048,1,2,270.0,2206131.47,1,SYSTEM,2025-08-25 03:14:40.003490
130,LEAD000130,Lead 130,lead130@example.com,+974804416165,2,1,53.0,4307878.02,1,SYSTEM,2025-06-29 23:09:40.003490
131,LEAD000131,Lead 131,lead131@example.com,+971512019231,1,1,387.0,4655634.69,1,SYSTEM,2025-04-10 08:45:40.003490
132,LEAD000132,Lead 132,lead132@example.com,+966511364638,3,1,250.0,2316786.42,1,SYSTEM,2025-09-05 15:29:40.003490
133,LEAD000133,Lead 133,lead133@example.com,+966733377664,2,2,273.0,5587709.61,1,SYSTEM,2025-06-25 05:50:40.003490
134,LEAD000134,Lead 134,lead134@example.com,+971653814126,5,1,423.0,9748794.58,0,SYSTEM,2025-06-27 23:45:40.003490
135,LEAD000135,Lead 135,lead135@example.com,+966857005549,3,6,269.0,6528083.24,1,SYSTEM,2025-07-04 16:50:40.003490
136,LEAD000136,Lead 136,lead136@example.com,+966900850099,1,5,479.0,11018753.75,1,SYSTEM,2025-08-24 17:56:40.003490
137,LEAD000137,Lead 137,lead137@example.com,+966869397535,5,3,,5829192.32,1,SYSTEM,2024-09-22 22:12:40.003490
138,LEAD000138,Lead 138,lead138@example.com,+971573416381,2,1,,2273899.39,1,SYSTEM,2024-12-02 21:38:40.003490
139,LEAD000139,Lead 139,,+966830105023,4,3,200.0,4085257.64,1,SYSTEM,2024-11-16 15:59:40.003490
140,LEAD000140,Lead 140,lead140@example.com,+974551946342,1,1,273.0,1043543.96,1,SYSTEM,2025-07-24 07:28:40.003490
141,LEAD000141,Lead 141,lead141@example.com,+974885560227,2,1,308.0,6575184.13,1,SYSTEM,2025-05-23 13:59:40.003490
142,LEAD000142,Lead 142,lead142@example.com,+974574110701,1,2,,990717.76,1,SYSTEM,2025-03-28 23:56:40.003490
143,LEAD000143,Lead 143,lead143@example.com,+974896685448,5,1,184.0,7255398.78,1,SYSTEM,2025-04-18 03:41:40.003490
144,LEAD000144,Lead 144,lead144@example.com,+971758112117,6,1,282.0,2250816.72,1,SYSTEM,2024-10-16 11:40:40.003490
145,LEAD000145,Lead 145,,+966665457588,1,1,175.0,2096052.29,1,SYSTEM,2025-07-02 02:26:40.003490
146,LEAD000146,Lead 146,lead146@example.com,+966779422197,4,7,158.0,1627665.82,1,SYSTEM,2025-02-01 09:25:40.003490
147,LEAD000147,Lead 147,lead147@example.com,+974752732717,1,3,472.0,3918450.76,1,SYSTEM,2025-07-13 01:35:40.003490
148,LEAD000148,Lead 148,,+974742901521,5,2,227.0,4008961.06,1,SYSTEM,2025-01-11 22:24:40.003490
149,LEAD000149,Lead 149,lead149@example.com,+966924073081,1,3,311.0,2748623.47,1,SYSTEM,2025-04-10 08:48:40.003490
150,LEAD000150,Lead 150,lead150@example.com,+966820856423,2,1,,6500899.0,1,SYSTEM,2025-04-06 19:36:40.003490
151,LEAD000151,Lead 151,lead151@example.com,+966994225079,5,2,247.0,809794.2,1,SYSTEM,2025-04-29 19:16:40.003490
152,LEAD000152,Lead 152,lead152@example.com,+966555341816,2,1,182.0,5208464.15,1,SYSTEM,2025-06-26 18:14:40.003490
153,LEAD000153,Lead 153,lead153@example.com,+971662746796,1,5,366.0,2211732.31,1,SYSTEM,2024-12-20 22:54:40.003490
154,LEAD000154,Lead 154,lead154@example.com,+974571967803,2,1,470.0,4574895.43,1,SYSTEM,2025-07-01 23:26:40.003490
155,LEAD000155,Lead 155,lead155@example.com,+966885487373,1,2,391.0,5456497.99,1,SYSTEM,2025-04-08 03:55:40.003490
156,LEAD000156,Lead 156,,+974957328531,2,1,416.0,3682776.68,1,SYSTEM,2025-05-18 22:12:40.003490
157,LEAD000157,Lead 157,lead157@example.com,+966635983045,4,1,398.0,1964088.52,1,SYSTEM,2024-11-10 11:12:40.003490
158,LEAD000158,Lead 158,lead158@example.com,+966908402777,1,1,237.0,739569.92,1,SYSTEM,2025-07-15 02:05:40.003490
159,LEAD000159,Lead 159,lead159@example.com,+966520704568,4,1,286.0,1620840.89,1,SYSTEM,2024-12-01 22:28:40.003490
160,LEAD000160,Lead 160,lead160@example.com,+966641970070,3,2,390.0,1339990.22,1,SYSTEM,2025-04-30 17:11:40.003490
161,LEAD000161,Lead 161,lead161@example.com,+966751119332,2,1,6.0,4006411.95,1,SYSTEM,2025-01-06 03:52:40.003490
162,LEAD000162,Lead 162,lead162@example.com,+974586566339,1,1,467.0,2427395.44,1,SYSTEM,2025-02-07 20:54:40.003490
163,LEAD000163,Lead 163,lead163@example.com,+974863572493,1,3,113.0,9600596.4,1,SYSTEM,2025-05-30 19:40:40.003490
164,LEAD000164,Lead 164,lead164@example.com,+974681219357,1,1,482.0,2236725.77,1,SYSTEM,2025-01-25 00:42:40.003490
165,LEAD000165,Lead 165,,+974940017011,1,2,266.0,4462336.13,1,SYSTEM,2025-08-02 09:18:40.003490
166,LEAD000166,Lead 166,lead166@example.com,+971619052545,4,1,298.0,3997496.66,1,SYSTEM,2025-03-13 17:32:40.003490
167,LEAD000167,Lead 167,lead167@example.com,+974742377134,4,1,298.0,2880253.57,1,SYSTEM,2025-03-28 01:43:40.003490
168,LEAD000168,Lead 168,lead168@example.com,+974556620918,6,2,488.0,3202182.13,1,SYSTEM,2025-01-30 00:45:40.003490
169,LEAD000169,Lead 169,lead169@example.com,+971875613276,1,2,101.0,2247106.64,1,SYSTEM,2025-07-11 06:45:40.003490
170,LEAD000170,Lead 170,lead170@example.com,+974628593837,3,1,461.0,2076947.9,1,SYSTEM,2025-03-20 15:06:40.003490
171,LEAD000171,Lead 171,lead171@example.com,+971743440580,1,7,30.0,2012316.87,1,SYSTEM,2025-08-13 13:39:40.003490
172,LEAD000172,Lead 172,lead172@example.com,+974703096995,1,4,499.0,4707762.76,1,SYSTEM,2025-08-06 08:06:40.003490
173,LEAD000173,Lead 173,lead173@example.com,+971650978122,3,1,442.0,7133053.54,1,SYSTEM,2024-11-11 03:42:40.003490
174,LEAD000174,Lead 174,lead174@example.com,+974689243881,1,9,384.0,4938155.66,1,SYSTEM,2025-02-05 20:08:40.003490
175,LEAD000175,Lead 175,lead175@example.com,+971601071270,2,2,107.0,2437632.57,1,SYSTEM,2025-04-04 03:09:40.003490
176,LEAD000176,Lead 176,lead176@example.com,+966564052448,1,1,480.0,10834231.18,1,SYSTEM,2025-08-15 01:27:40.003490
177,LEAD000177,Lead 177,lead177@example.com,+971709761450,4,1,195.0,1761845.58,1,SYSTEM,2025-01-08 05:03:40.003490
178,LEAD000178,Lead 178,lead178@example.com,+971513317715,2,3,281.0,6351194.41,0,SYSTEM,2025-07-24 01:39:40.003490
179,LEAD000179,Lead 179,lead179@example.com,+966955253525,3,2,242.0,2873814.49,1,SYSTEM,2024-11-03 01:14:40.003490
180,LEAD000180,Lead 180,lead180@example.com,+971558765512,1,4,226.0,4520044.67,1,SYSTEM,2024-12-19 11:49:40.003490
181,LEAD000181,Lead 181,,+966830202267,3,2,359.0,5674675.56,1,SYSTEM,2025-02-27 23:39:40.003490
182,LEAD000182,Lead 182,lead182@example.com,+971578518263,1,1,173.0,7923235.69,1,SYSTEM,2025-02-15 00:11:40.003490
183,LEAD000183,Lead 183,lead183@example.com,+974504776415,3,2,400.0,5296718.31,1,SYSTEM,2025-03-05 05:55:40.003490
184,LEAD000184,Lead 184,lead184@example.com,+966672039148,2,3,317.0,4149617.72,1,SYSTEM,2025-05-10 23:43:40.003490
185,LEAD000185,Lead 185,lead185@example.com,+974500131936,1,1,,3933958.54,1,SYSTEM,2025-08-30 18:36:40.003490
186,LEAD000186,Lead 186,lead186@example.com,+974816137171,1,2,201.0,5483157.23,1,SYSTEM,2025-03-31 09:09:40.003490
187,LEAD000187,Lead 187,lead187@example.com,+974848058207,7,7,495.0,11375551.1,1,SYSTEM,2025-04-28 18:32:40.003490
188,LEAD000188,Lead 188,lead188@example.com,+966800765054,1,2,111.0,1370028.5,1,SYSTEM,2024-10-07 12:57:40.003490
189,LEAD000189,Lead 189,lead189@example.com,+966528963091,3,2,260.0,4061702.52,1,SYSTEM,2025-03-01 13:12:40.003490
190,LEAD000190,Lead 190,,+971747088603,1,10,437.0,7615943.21,1,SYSTEM,2025-03-11 22:50:40.003490
191,LEAD000191,Lead 191,lead191@example.com,+966869505299,2,1,240.0,4090133.67,1,SYSTEM,2025-01-15 09:20:40.003490
192,LEAD000192,Lead 192,lead192@example.com,+971593572370,2,2,430.0,982074.5,1,SYSTEM,2025-06-15 20:04:40.003490
193,LEAD000193,Lead 193,lead193@example.com,+966823977099,4,3,366.0,1351992.11,1,SYSTEM,2025-06-11 21:16:40.003490
194,LEAD000194,Lead 194,lead194@example.com,+966831174005,2,7,116.0,3643683.24,1,SYSTEM,2025-07-28 02:34:40.003490
195,LEAD000195,Lead 195,lead195@example.com,+974905109102,2,2,409.0,2603825.53,1,SYSTEM,2025-04-24 23:00:40.003490
196,LEAD000196,Lead 196,lead196@example.com,+974829593551,2,1,500.0,11669225.77,1,SYSTEM,2025-08-21 13:07:40.003490
197,LEAD000197,Lead 197,lead197@example.com,+971845242943,1,1,490.0,2756124.71,1,SYSTEM,2024-11-08 07:31:40.003490
198,LEAD000198,Lead 198,lead198@example.com,+966977637937,1,1,308.0,7045962.67,1,SYSTEM,2025-08-17 20:34:40.003490
199,LEAD000199,Lead 199,,+971923459004,2,1,253.0,2780325.07,1,SYSTEM,2025-04-27 13:38:40.003490
200,LEAD000200,Lead 200,lead200@example.com,+966579325711,2,1,251.0,3476592.45,1,SYSTEM,2025-07-18 00:34:40.003490
201,LEAD000201,Lead 201,lead201@example.com,+971971562019,4,2,181.0,4898655.77,1,SYSTEM,2025-02-27 07:48:40.003490
202,LEAD000202,Lead 202,lead202@example.com,+971943817003,1,3,,10759401.48,1,SYSTEM,2025-09-03 09:03:40.003490
203,LEAD000203,Lead 203,lead203@example.com,+971594773402,3,2,246.0,5641472.05,1,SYSTEM,2024-10-24 20:14:40.003490
204,LEAD000204,Lead 204,lead204@example.com,+974525562996,1,7,274.0,3616228.98,1,SYSTEM,2025-03-31 06:52:40.003490
205,LEAD000205,Lead 205,lead205@example.com,+966515234145,2,7,22.0,1162286.48,1,SYSTEM,2024-12-25 20:41:40.003490
206,LEAD000206,Lead 206,lead206@example.com,+974676582541,2,7,224.0,2135614.85,1,SYSTEM,2025-03-26 07:32:40.003490
